"","Team","year_group","W/L%","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR","EFG_diff","TTP_diff","RebRate_diff","FTR_diff"
"1","Atlanta Hawks","2013-2014",0.5,0.516201620162016,0.502926972047417,0.244277768547309,0.243931042570658,0.204675107833588,0.69421265141319,0.191269126912691,0.188350651251281,0.0132746481145992,0.000346725976650863,-0.489537543579601,0.00291847566141071
"2","Boston Celtics","2013-2014",0.404907975460123,0.489694198770799,0.493578188373141,0.245754149239792,0.236834855163728,0.222464261402315,0.691368189927268,0.19809623744566,0.221646387261529,-0.00388398960234204,0.00891929407606451,-0.468903928524953,-0.0235501498158689
"3","Brooklyn Nets","2013-2014",0.567073170731707,0.505720912253576,0.5056,0.239403140106268,0.23916191600809,0.250354007363353,0.68752648679192,0.227290297642056,0.20472380952381,0.000120912253575467,0.000241224098177811,-0.437172479428567,0.0225664881182469
"4","Charlotte Hornets","2013-2014",0.390243902439024,0.470251887286045,0.507169117647059,0.221882565344056,0.225111250341382,0.22335092348285,0.691600162315704,0.225726885417445,0.189926470588235,-0.0369172303610136,-0.00322868499732543,-0.468249238832855,0.03580041482921
"5","Chicago Bulls","2013-2014",0.567073170731707,0.470508474576271,0.473988657844991,0.245105065504687,0.239404205024055,0.2615241140421,0.697396672034353,0.213107344632768,0.197051039697543,-0.00348018326871935,0.00570086048063226,-0.435872557992254,0.0160563049352258
"6","Cleveland Cavaliers","2013-2014",0.347560975609756,0.475931004618938,0.515440406759384,0.232052095293919,0.23308592912941,0.254631404113964,0.695870535714286,0.200490762124711,0.211903693734111,-0.0395094021404462,-0.00103383383549066,-0.441239131600321,-0.0114129316093997
"7","Dallas Mavericks","2013-2014",0.548780487804878,0.515963636363636,0.503059795030598,0.22137365594566,0.239882749434167,0.219565514414538,0.70054054054054,0.196436363636364,0.228268082282681,0.0129038413330385,-0.0185090934885065,-0.480975026126003,-0.0318317186463172
"8","Denver Nuggets","2013-2014",0.567073170731707,0.506060606060606,0.496421231663241,0.233887543796768,0.233948653782374,0.278684175620109,0.686016511867905,0.218752228163993,0.213450499610233,0.00963937439736468,-6.1109985605684e-05,-0.407332336247796,0.00530172855375971
"9","Detroit Pistons","2013-2014",0.353658536585366,0.484740590030519,0.512615955473098,0.235245451663535,0.229013569734438,0.287725299302723,0.69172098183331,0.197791018747275,0.213432282003711,-0.0278753654425795,0.00623188192909765,-0.403995682530587,-0.0156412632564355
"10","Golden State Warriors","2013-2014",0.597560975609756,0.511520404478151,0.481692374225169,0.239256118712661,0.230429255660374,0.238133440299505,0.720143516145566,0.193643914770675,0.217096727692086,0.0298280302529816,0.00882686305228772,-0.482010075846061,-0.0234528129214106
"11","Houston Rockets","2013-2014",0.603658536585366,0.527829660067239,0.495219683655536,0.243863691973954,0.228350725030492,0.256054878902422,0.69467108618052,0.253044452745611,0.194657293497364,0.0326099764117034,0.0155129669434619,-0.438616207278098,0.058387159248247
"12","Indiana Pacers","2013-2014",0.644171779141104,0.484539624370133,0.456479690522244,0.247895304476603,0.235713586718348,0.256982475355969,0.705837075048108,0.222476714002138,0.196994494866835,0.0280599338478892,0.0121817177582551,-0.448854599692138,0.0254822191353024
"13","Los Angeles Clippers","2013-2014",0.689024390243902,0.525693769167477,0.487682515911644,0.220496225195356,0.251849827219305,0.256534780745608,0.690057694887965,0.230608123270252,0.22553350804942,0.0380112532558334,-0.0313536020239485,-0.433522914142357,0.00507461522083238
