"","Team","year","W/L%","Conference","MadePlayoffs","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR"
"583","New Jersey Nets",1981,0.293,"East","No",0.477713973202078,0.506495320575499,0.269071058044319,0.25495583049876,0.284597341673182,0.66929799830843,0.243368881596937,0.280765470037715
"584","New Jersey Nets",1987,0.293,"East","No",0.486587604122547,0.488,0.263437426687173,0.222352578765575,0.315179293610138,0.649851632047478,0.282366228999012,0.330245614035088
"585","New Jersey Nets",1988,0.232,"East","No",0.477832871518157,0.506287944492628,0.262463066574464,0.24147507060576,0.294601260619348,0.649813272048262,0.245296777016188,0.273923099161607
"586","New Jersey Nets",1989,0.317,"East","No",0.4741904234708,0.508098296565205,0.250848279205041,0.231578097020452,0.309273054199846,0.671571349250416,0.22875726543039,0.244205529181793
"587","New Jersey Nets",1990,0.207,"East","No",0.435198921105866,0.49480056980057,0.245000900738606,0.239775331021757,0.320103334899014,0.642521426596627,0.236547538772758,0.271509971509972
"588","New Jersey Nets",1991,0.317,"East","No",0.454685614693659,0.477657507632528,0.248697962179734,0.245149352008806,0.337512054001929,0.612734864300626,0.222281807212763,0.267416042187066
"589","New Jersey Nets",1995,0.366,"East","No",0.466904125853369,0.492757821552723,0.247468209853042,0.21238447746493,0.319294551197684,0.690220311660398,0.259720985455625,0.216541135573581
"590","New Jersey Nets",1996,0.366,"East","No",0.445333333333333,0.494716981132075,0.262236428549632,0.246441156837481,0.348927371413802,0.691627521414755,0.247703703703704,0.222792452830189
"591","New Jersey Nets",1997,0.317,"East","No",0.456353123677902,0.502692998204668,0.249148260597492,0.236349277978339,0.344154259214059,0.662946428571429,0.211817797207728,0.243566726511071
"592","New Jersey Nets",1999,0.32,"East","No",0.433533653846154,0.480720766129032,0.250715374535341,0.255650730161126,0.289590927501013,0.661602209944751,0.23125,0.237651209677419
"593","New Jersey Nets",2000,0.378,"East","No",0.467591919779102,0.490876724521584,0.223977390092954,0.254079028622021,0.26652998462327,0.64021017699115,0.232669670106089,0.222963951935915
"594","New Jersey Nets",2001,0.317,"East","No",0.452137404580153,0.488375697458153,0.244869497531034,0.249682153087327,0.241178031308039,0.664864864864865,0.248702290076336,0.257904525728456
"595","New Jersey Nets",2008,0.415,"East","No",0.481395348837209,0.49656121045392,0.242440741091437,0.215427598276579,0.254034501947691,0.707666385846672,0.255348837209302,0.271129451322024
"596","New Jersey Nets",2009,0.415,"East","No",0.497399020807834,0.509475332811276,0.220684841517491,0.21799969958337,0.235391858211022,0.703671328671329,0.235924112607099,0.272200469851214
"597","New Jersey Nets",2010,0.146,"East","No",0.457964601769911,0.516608524192325,0.242133726647001,0.220527269377226,0.239775461106656,0.689272142648348,0.239853524565151,0.229182466252086
