"","Team","2013-2014","2015-2016"
"1","Atlanta Hawks",0.000346725976650863,-0.0235105412300081
"2","Boston Celtics",0.00891929407606451,-0.0244663136698635
"3","Brooklyn Nets",0.000241224098177811,0.00840434038860904
"4","Charlotte Hornets",-0.00322868499732543,-0.0107017339992199
"5","Chicago Bulls",0.00570086048063226,0.025701331043698
"6","Cleveland Cavaliers",-0.00103383383549066,0.00287981422432948
"7","Dallas Mavericks",-0.0185090934885065,-0.0287567258224701
"8","Denver Nuggets",-6.1109985605684e-05,0.0103890194299171
"9","Detroit Pistons",0.00623188192909765,-0.00470891990131811
"10","Golden State Warriors",0.00882686305228772,-0.0157667445142846
"11","Houston Rockets",0.0155129669434619,-0.00419246505793516
"12","Indiana Pacers",0.0121817177582551,0.00056861881908124
"13","Los Angeles Clippers",-0.0313536020239485,-0.0354810643657734
"14","Los Angeles Lakers",0.0236737407015167,0.0209966738433225
"15","Memphis Grizzlies",-0.022479858659348,-0.0368248434819221
"16","Miami Heat",-0.0337700097473435,0.00506513793707991
"17","Milwaukee Bucks",0.00268786692358511,-0.0066722254250603
"18","Minnesota Timberwolves",-0.0248460095943311,0.004922493960724
"19","New Orleans Pelicans",0.0082910856334881,0.00702003224824663
"20","New York Knicks",-0.0294612696207013,0.0293826511610543
"21","Oklahoma City Thunder",-0.00890894271724588,0.015900266148388
"22","Orlando Magic",0.0294636072456428,0.00144786936550803
"23","Philadelphia 76ers",0.00234424811380937,0.0306362143493123
"24","Phoenix Suns",0.00650736712745212,0.0188978533094144
"25","Portland Trail Blazers",0.0254566352930092,0.0198051489452347
"26","Sacramento Kings",0.0139912380834793,0.0201209630887873
"27","San Antonio Spurs",-0.00649611753001725,-0.0252319948887182
"28","Toronto Raptors",-0.00600121018998695,-0.0160091444719352
"29","Utah Jazz",0.0184395442917752,0.0176486543945612
"30","Washington Wizards",-0.00401165666373288,-0.00645498901569583
